antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
"frozenset({'/web/area-de-concesion', '/web/sample-page/marco-regulatorio', '/web/sample-page/delegaciones'})",frozenset({'/'}),0.0037072520514849837,0.22689215645436747,0.0037072520514849837,1.0,4.407380209289517,1.0,0.002866105639003678,inf,0.7759846140981688,0.01633926932256288,1.0,0.5081696346612814
"frozenset({'/', '/web/sample-page/marco-regulatorio', '/robots.txt'})","frozenset({'/web/sample-page/autoridades', '/web/sample-page/delegaciones'})",0.0033323613945932438,0.004332069812971216,0.0033323613945932438,1.0,230.83653846153848,1.0,0.003317925372389816,inf,0.9989969490533707,0.7692307692307695,1.0,0.8846153846153846
"frozenset({'/web/sample-page/delegaciones', '/web/sample-page/autoridades', '/web/sample-page/marco-regulatorio', '/web/area-de-concesion'})",frozenset({'/'}),0.003665597534052568,0.22689215645436747,0.003665597534052568,1.0,4.407380209289517,1.0,0.002833902204857569,inf,0.7759521719135416,0.016155682026803744,1.0,0.5080778410134019
"frozenset({'/', '/web/sample-page/marco-regulatorio', '/robots.txt'})","frozenset({'/web/sample-page/delegaciones', '/web/sample-page/autoridades', '/web/area-de-concesion'})",0.0033323613945932438,0.0037905610863498145,0.0033323613945932438,1.0,263.8131868131868,1.0,0.003319729875165244,inf,0.9995402683161282,0.8791208791208792,1.0,0.9395604395604396
"frozenset({'/web/sample-page/marco-regulatorio', '/web/area-de-concesion', '/robots.txt'})","frozenset({'/', '/web/sample-page/autoridades', '/web/sample-page/delegaciones'})",0.0033323613945932438,0.004332069812971216,0.0033323613945932438,1.0,230.83653846153848,1.0,0.003317925372389816,inf,0.9989969490533707,0.7692307692307695,1.0,0.8846153846153846
"frozenset({'/web/sample-page/marco-regulatorio', '/web/area-de-concesion', '/robots.txt'})","frozenset({'/web/sample-page/autoridades', '/web/sample-page/delegaciones'})",0.0033323613945932438,0.004332069812971216,0.0033323613945932438,1.0,230.83653846153848,1.0,0.003317925372389816,inf,0.9989969490533707,0.7692307692307695,1.0,0.8846153846153846
"frozenset({'/web/sample-page/autoridades', '/web/sample-page/marco-regulatorio', '/web/sample-page/delegaciones', '/robots.txt'})",frozenset({'/web/area-de-concesion'}),0.0033323613945932438,0.01037197484067147,0.0033323613945932438,1.0,96.4136546184739,1.0,0.003297798226048498,inf,0.9929368495841517,0.321285140562249,1.0,0.6606425702811245
"frozenset({'/web/sample-page/autoridades', '/web/sample-page/marco-regulatorio', '/web/area-de-concesion', '/robots.txt'})",frozenset({'/web/sample-page/delegaciones'}),0.0033323613945932438,0.006331486649727163,0.0033323613945932438,1.0,157.94078947368422,1.0,0.0033112625929113105,inf,0.996990847160112,0.5263157894736843,1.0,0.7631578947368421
"frozenset({'/web/sample-page/delegaciones', '/web/sample-page/marco-regulatorio', '/web/area-de-concesion', '/robots.txt'})",frozenset({'/web/sample-page/autoridades'}),0.0033323613945932438,0.013829299787561962,0.0033323613945932438,1.0,72.31024096385542,1.0,0.003286277169866916,inf,0.989467965060392,0.24096385542168675,1.0,0.6204819277108433
"frozenset({'/web/sample-page/autoridades', '/web/sample-page/delegaciones', '/robots.txt'})",frozenset({'/'}),0.0034156704294580746,0.22689215645436747,0.0034156704294580746,1.0,4.407380209289517,1.0,0.0026406815999809167,inf,0.7757575757575759,0.015054158252248944,1.0,0.5075270791261245
